id,title,goal,prompt,example
1,Hook Generator: Use-Cases,"Schnelle, strukturierte Outputs fuer Agenturen.",Analysiere AI-Agenten Workflow und generiere 5 Use-Cases. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
2,Thread Outline: Content-Titel,"Schnelle, strukturierte Outputs fuer Agenturen.",Analysiere Prompt Pack und generiere 12 Content-Titel. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
3,Tweet Variations: Hooks,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Erstelle 12 Hooks fuer B2B Marketer. Nutze Template und halte jede Ausgabe unter 16 Woertern. Kontext: Prompt Pack. Gib die Ausgabe nummeriert aus.,Beispiel: Offer: 'Content Factory in a Box'
4,CTA Builder: DM-Templates,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Erstelle 12 DM-Templates fuer Solo-Creator. Nutze Template und halte jede Ausgabe unter 24 Woertern. Kontext: Creator Stack. Gib die Ausgabe nummeriert aus.,Beispiel: Offer: 'Content Factory in a Box'
5,Content Audit: Objection-Replies,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Erstelle eine Liste von 10 Objection-Replies fuer SaaS Founder. Verwende Template. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
6,Positionierung: Thread-Outlines,"Schnelle, strukturierte Outputs fuer Berater.",Erstelle 10 Thread-Outlines fuer Berater. Nutze Pro/Contra und halte jede Ausgabe unter 20 Woertern. Kontext: Tweet Engine. Gib die Ausgabe nummeriert aus.,Beispiel: Offer: 'Content Factory in a Box'
7,Offer Design: Content-Titel,"Schnelle, strukturierte Outputs fuer Berater.",Analysiere Content Factory und generiere 10 Content-Titel. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
8,Pricing: Content-Ideen,"Schnelle, strukturierte Outputs fuer Agenturen.",Du bist ein Content-Strategist. Liefere 5 Content-Ideen im Stil Kurz und direkt. Zielgruppe: Agenturen. Thema: Prompt Pack. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
9,Lead Magnet: Use-Cases,"Schnelle, strukturierte Outputs fuer Agenturen.",Analysiere Prompt Pack und generiere 10 Use-Cases. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
10,Content Kalender: Use-Cases,"Schnelle, strukturierte Outputs fuer Berater.",Du bist ein Content-Strategist. Liefere 9 Use-Cases im Stil Pro/Contra. Zielgruppe: Berater. Thema: Prompt Pack. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
