Name,Ziel,Prompt,Beispiel,Status,Tag
Prompt 1: Hook Generator: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Analysiere Tweet Engine und generiere 12 Lead-Magnet-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.',Draft,prompt
Prompt 2: Thread Outline: DM-Templates,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Du bist ein Content-Strategist. Liefere 7 DM-Templates im Stil Pro/Contra. Zielgruppe: Solo-Creator. Thema: Content Factory. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 3: Tweet Variations: Hooks,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Du bist ein Content-Strategist. Liefere 10 Hooks im Stil Schritt-fuer-Schritt. Zielgruppe: SaaS Founder. Thema: Tweet Engine. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
Prompt 4: CTA Builder: Content-Ideen,"Schnelle, strukturierte Outputs fuer Coaches.","Baue 5 Content-Ideen fuer Coaches. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Creator Stack.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 5: Content Audit: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Analysiere Tweet Engine und generiere 9 Tweet-Varianten. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 6: Positionierung: Content-Ideen,"Schnelle, strukturierte Outputs fuer Coaches.",Erstelle 5 Content-Ideen fuer Coaches. Nutze Framework und halte jede Ausgabe unter 20 Woertern. Kontext: Tweet Engine. Gib die Ausgabe nummeriert aus.,Beispiel: Offer: 'Content Factory in a Box',Draft,prompt
Prompt 7: Offer Design: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer Coaches.",Du bist ein Content-Strategist. Liefere 10 Tweet-Varianten im Stil Kurz und direkt. Zielgruppe: Coaches. Thema: Prompt Pack. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.',Draft,prompt
Prompt 8: Pricing: Offer-Statements,"Schnelle, strukturierte Outputs fuer Coaches.","Erstelle eine Liste von 10 Offer-Statements fuer Coaches. Verwende Kurz und direkt. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 9: Lead Magnet: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Erstelle 9 Tweet-Varianten fuer B2B Marketer. Nutze Beispiel + Analyse und halte jede Ausgabe unter 18 Woertern. Kontext: Thread System. Gib die Ausgabe nummeriert aus.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.',Draft,prompt
Prompt 10: Content Kalender: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Coaches.",Analysiere Content Factory und generiere 5 CTA-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
Prompt 11: Repurposing: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Coaches.",Erstelle 10 CTA-Ideen fuer Coaches. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 16 Woertern. Kontext: Prompt Pack. Gib die Ausgabe nummeriert aus.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
Prompt 12: Story Framework: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Analysiere Monetarisierungs-Funnel und generiere 12 Tweet-Varianten. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 13: Objection Handling: Pricing-Optionen,"Schnelle, strukturierte Outputs fuer Coaches.","Baue 9 Pricing-Optionen fuer Coaches. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Tweet Engine.",Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
Prompt 14: Use-Case Mapping: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer Solo-Creator.","Baue 12 Lead-Magnet-Ideen fuer Solo-Creator. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: AI-Agenten Workflow.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 15: Audience Research: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Erstelle 12 Lead-Magnet-Ideen fuer SaaS Founder. Nutze Template und halte jede Ausgabe unter 20 Woertern. Kontext: Hook-Datenbank. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 16: Angle Finder: Content-Titel,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Erstelle 9 Content-Titel fuer B2B Marketer. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 24 Woertern. Kontext: AI-Agenten Workflow. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 17: Benefit Stacking: DM-Templates,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Du bist ein Content-Strategist. Liefere 12 DM-Templates im Stil Framework. Zielgruppe: Solo-Creator. Thema: Content Factory. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 18: Case Study: Content-Ideen,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Erstelle eine Liste von 9 Content-Ideen fuer SaaS Founder. Verwende Beispiel + Analyse. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 19: SaaS Content: CTA-Ideen,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Baue 12 CTA-Ideen fuer SaaS Founder. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: AI-Agenten Workflow.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 20: Creator Newsletter: Thread-Outlines,"Schnelle, strukturierte Outputs fuer Solo-Creator.","Erstelle eine Liste von 12 Thread-Outlines fuer Solo-Creator. Verwende Framework. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 21: Sales Page: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Coaches.",Analysiere Content Factory und generiere 10 CTA-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Offer: 'Content Factory in a Box',Draft,prompt
