Name,Date,Type,Platform,Text,Status
Tweet 1,2026-02-06,tweet,X/Twitter,"Ohne System bleibt es Zufall. Planbar wird es durch harte Wortlimits: 400 Premium-Prompts. Batching: 30 Hooks, dann 30 Drafts. Verlange fuer Ergebnis, nicht fuer Zeit. Schreib AGENTS fuer das Prompt-Pack. Kopiere den Flow und teste eine Woche.",Scheduled
Prompt 1,2026-02-06,prompt,X/Twitter,Erstelle 9 Tweet-Varianten fuer Solo-Creator. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 24 Woertern. Kontext: Content Factory. Gib die Ausgabe nummeriert aus.,Scheduled
Prompt 2,2026-02-06,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 7 Thread-Outlines im Stil Beispiel + Analyse. Zielgruppe: SaaS Founder. Thema: Thread System. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Prompt 3,2026-02-06,prompt,X/Twitter,"Erstelle 7 CTA-Ideen fuer B2B Marketer und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Hook-Datenbank.",Scheduled
Tweet 2,2026-02-07,tweet,X/Twitter,Ohne System bleibt es Zufall. Planbar wird es durch Quality Gates nach jedem Schritt: 50 Threads pro Monat. Rhythmus: 1 Batch pro Woche. Mastermind-Denken multipliziert Ergebnisse. 30 Hooks in 60 Minuten sind realistisch.,Scheduled
Prompt 4,2026-02-07,prompt,X/Twitter,"Baue 5 Tweet-Varianten fuer Coaches. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Hook-Datenbank.",Scheduled
Prompt 5,2026-02-07,prompt,X/Twitter,"Baue 12 Lead-Magnet-Ideen fuer Berater. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Hook-Datenbank.",Scheduled
Prompt 6,2026-02-07,prompt,X/Twitter,"Erstelle eine Liste von 5 DM-Templates fuer Coaches. Verwende Schritt-fuer-Schritt. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Scheduled
Tweet 3,2026-02-08,tweet,X/Twitter,"Du brauchst keine 10x Kreativitaet, sondern eine Ideenmaschine vor der Schreibmaschine. Damit lieferst du eine konstante Pipeline ohne Burnout. Wecke den Wunsch im anderen. Der Unterschied ist Prozess, nicht Talent. Kopiere den Flow und teste eine Woche.",Scheduled
Prompt 7,2026-02-08,prompt,X/Twitter,"Erstelle 10 Offer-Statements fuer Coaches und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Prompt Pack.",Scheduled
Prompt 8,2026-02-08,prompt,X/Twitter,"Baue 9 Tweet-Varianten fuer Agenturen. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Tweet Engine.",Scheduled
Prompt 9,2026-02-08,prompt,X/Twitter,"Baue 12 Offer-Statements fuer Agenturen. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Hook-Datenbank.",Scheduled
Tweet 4,2026-02-09,tweet,X/Twitter,"Wenn du 300 Tweets pro Woche willst, brauchst du eine Task-Matrix mit festen Slots. Setup: Flow: Thema -> Hook -> Draft -> CTA. Das liefert wiederholbare Ergebnisse statt Zufall. Sprich ueber die Interessen deines Gegenuebers.",Scheduled
Thread 1,2026-02-09,thread,X/Twitter,"Parallelisierung im Content-System klingt simpel, ist aber ein Gamechanger. / Viele Threads scheitern am ersten Tweet. / Hook-First zwingt dich zu Klarheit. / Sammle 30 Hooks, teste 10, behalte 3. / Erst dann baust du den Rest des Threads. / Prinzip: Zeige ehrliche Wertschaetzung. / These: Mastermind-Denken multipliziert Ergebnisse. / CTA: DM mit AGENTS und ich sende dir die Matrix.",Scheduled
Prompt 10,2026-02-09,prompt,X/Twitter,Erstelle 10 Offer-Statements fuer Coaches. Nutze Beispiel + Analyse und halte jede Ausgabe unter 16 Woertern. Kontext: Monetarisierungs-Funnel. Gib die Ausgabe nummeriert aus.,Scheduled
Prompt 11,2026-02-09,prompt,X/Twitter,"Baue 12 Hooks fuer B2B Marketer. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Content Factory.",Scheduled
Prompt 12,2026-02-09,prompt,X/Twitter,"Baue 10 Content-Titel fuer Berater. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Tweet Engine.",Scheduled
Tweet 5,2026-02-10,tweet,X/Twitter,12 Agenten parallel liefern 30 getestete Hooks pro Woche. Der Hebel: harte Wortlimits. Flow: Hook -> Draft -> Refine -> Publish. Ergebnis: schnelleres Testing von Hooks. Hoere aufrichtig zu. Fang mit 10 Agenten an und skaliere dann.,Scheduled
Prompt 13,2026-02-10,prompt,X/Twitter,"Erstelle 12 Use-Cases fuer Solo-Creator und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: AI-Agenten Workflow.",Scheduled
Prompt 14,2026-02-10,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 10 Hooks im Stil Pro/Contra. Zielgruppe: Berater. Thema: AI-Agenten Workflow. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Prompt 15,2026-02-10,prompt,X/Twitter,Analysiere Mastermind-Plan und generiere 9 Lead-Magnet-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Tweet 6,2026-02-11,tweet,X/Twitter,Ohne System bleibt es Zufall. Planbar wird es durch Output-Funnels statt Einmal-Posts: 30 getestete Hooks pro Woche. Flow: Hook -> Draft -> Refine -> Publish. Ein klares Ziel vor Augen schafft Zugkraft. Ohne Struktur bleibt Output Zufall.,Scheduled
Prompt 16,2026-02-11,prompt,X/Twitter,"Erstelle 7 Pricing-Optionen fuer Coaches und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Prompt Pack.",Scheduled
Prompt 17,2026-02-11,prompt,X/Twitter,Erstelle 7 Tweet-Varianten fuer Solo-Creator. Nutze Framework und halte jede Ausgabe unter 18 Woertern. Kontext: Hook-Datenbank. Gib die Ausgabe nummeriert aus.,Scheduled
Prompt 18,2026-02-11,prompt,X/Twitter,"Erstelle 7 Use-Cases fuer Berater und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Content Factory.",Scheduled
Tweet 7,2026-02-12,tweet,X/Twitter,12 Agenten parallel liefern eine konstante Pipeline ohne Burnout. Der Hebel: Hook-First statt Content-First. Flow: Orchestrator -> Ideation -> Writer -> Refiner. Ergebnis: wiederholbare Ergebnisse statt Zufall. Handlung vor Ausrede.,Scheduled
Prompt 19,2026-02-12,prompt,X/Twitter,Erstelle 7 Tweet-Varianten fuer Coaches. Nutze Checkliste und halte jede Ausgabe unter 16 Woertern. Kontext: Prompt Pack. Gib die Ausgabe nummeriert aus.,Scheduled
Prompt 20,2026-02-12,prompt,X/Twitter,Analysiere Thread System und generiere 9 Objection-Replies. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Prompt 21,2026-02-12,prompt,X/Twitter,"Baue 12 Tweet-Varianten fuer SaaS Founder. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Creator Stack.",Scheduled
Tweet 8,2026-02-13,tweet,X/Twitter,"20 Agenten parallel liefern eine konstante Pipeline ohne Burnout. Der Hebel: Hook-First statt Content-First. Rhythmus: 1 Batch pro Woche. Ergebnis: saubere Struktur ohne Ueberforderung. Keine Ausreden, nur Handlung. Fang mit 10 Agenten an und skaliere dann.",Scheduled
Prompt 22,2026-02-13,prompt,X/Twitter,Analysiere Monetarisierungs-Funnel und generiere 12 Use-Cases. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Prompt 23,2026-02-13,prompt,X/Twitter,Erstelle 10 Thread-Outlines fuer SaaS Founder. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 18 Woertern. Kontext: AI-Agenten Workflow. Gib die Ausgabe nummeriert aus.,Scheduled
Prompt 24,2026-02-13,prompt,X/Twitter,Analysiere Content Factory und generiere 10 High-Ticket-Argumente. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Tweet 9,2026-02-14,tweet,X/Twitter,"Content skaliert nicht mit mehr Zeit, sondern durch Proof-Checks nach jedem Schritt. Mit 12 Agenten baust du 400 Premium-Prompts. Flow: Orchestrator -> Ideation -> Writer -> Refiner. Preisleiter: Einstieg, Kernangebot, Premium-Upgrade.",Scheduled
Prompt 25,2026-02-14,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 7 Lead-Magnet-Ideen im Stil Kurz und direkt. Zielgruppe: Solo-Creator. Thema: Monetarisierungs-Funnel. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Prompt 26,2026-02-14,prompt,X/Twitter,Analysiere AI-Agenten Workflow und generiere 9 Use-Cases. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Prompt 27,2026-02-14,prompt,X/Twitter,Analysiere Monetarisierungs-Funnel und generiere 5 Offer-Statements. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Tweet 10,2026-02-15,tweet,X/Twitter,Ohne System bleibt es Zufall. Planbar wird es durch Quality Gates nach jedem Schritt: eine konstante Pipeline ohne Burnout. Flow: Orchestrator -> Ideation -> Writer -> Refiner. Der Wunsch nach Erfolg braucht ein definites Ziel.,Scheduled
Prompt 28,2026-02-15,prompt,X/Twitter,Erstelle 12 Use-Cases fuer B2B Marketer. Nutze Beispiel + Analyse und halte jede Ausgabe unter 24 Woertern. Kontext: Thread System. Gib die Ausgabe nummeriert aus.,Scheduled
Prompt 29,2026-02-15,prompt,X/Twitter,"Baue 7 Content-Titel fuer Solo-Creator. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: AI-Agenten Workflow.",Scheduled
Prompt 30,2026-02-15,prompt,X/Twitter,Erstelle 9 Content-Titel fuer Berater. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 18 Woertern. Kontext: Content Factory. Gib die Ausgabe nummeriert aus.,Scheduled
Tweet 11,2026-02-16,tweet,X/Twitter,Ohne System bleibt es Zufall. Planbar wird es durch Hook-First statt Content-First: skalierbare Content-Produktion. Flow: Thema -> Hook -> Draft -> CTA. Funnel: Lead Magnet -> Tripwire -> Core Offer -> High Ticket -> Retainer.,Scheduled
