Name,Ziel,Prompt,Beispiel,Status,Tag
Prompt 1: Hook Generator: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Erstelle 9 Tweet-Varianten fuer Solo-Creator. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 24 Woertern. Kontext: Content Factory. Gib die Ausgabe nummeriert aus.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 2: Thread Outline: Thread-Outlines,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Du bist ein Content-Strategist. Liefere 7 Thread-Outlines im Stil Beispiel + Analyse. Zielgruppe: SaaS Founder. Thema: Thread System. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 3: Tweet Variations: CTA-Ideen,"Schnelle, strukturierte Outputs fuer B2B Marketer.","Erstelle 7 CTA-Ideen fuer B2B Marketer und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Hook-Datenbank.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 4: CTA Builder: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer Coaches.","Baue 5 Tweet-Varianten fuer Coaches. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Hook-Datenbank.",Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
Prompt 5: Content Audit: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer Berater.","Baue 12 Lead-Magnet-Ideen fuer Berater. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Hook-Datenbank.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 6: Positionierung: DM-Templates,"Schnelle, strukturierte Outputs fuer Coaches.","Erstelle eine Liste von 5 DM-Templates fuer Coaches. Verwende Schritt-fuer-Schritt. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 7: Offer Design: Offer-Statements,"Schnelle, strukturierte Outputs fuer Coaches.","Erstelle 10 Offer-Statements fuer Coaches und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Prompt Pack.",Beispiel: Offer: 'Content Factory in a Box',Draft,prompt
Prompt 8: Pricing: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer Agenturen.","Baue 9 Tweet-Varianten fuer Agenturen. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Tweet Engine.",Beispiel: Offer: 'Content Factory in a Box',Draft,prompt
Prompt 9: Lead Magnet: Offer-Statements,"Schnelle, strukturierte Outputs fuer Agenturen.","Baue 12 Offer-Statements fuer Agenturen. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Hook-Datenbank.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 10: Content Kalender: Offer-Statements,"Schnelle, strukturierte Outputs fuer Coaches.",Erstelle 10 Offer-Statements fuer Coaches. Nutze Beispiel + Analyse und halte jede Ausgabe unter 16 Woertern. Kontext: Monetarisierungs-Funnel. Gib die Ausgabe nummeriert aus.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
Prompt 11: Repurposing: Hooks,"Schnelle, strukturierte Outputs fuer B2B Marketer.","Baue 12 Hooks fuer B2B Marketer. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Content Factory.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 12: Story Framework: Content-Titel,"Schnelle, strukturierte Outputs fuer Berater.","Baue 10 Content-Titel fuer Berater. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Tweet Engine.",Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
Prompt 13: Objection Handling: Use-Cases,"Schnelle, strukturierte Outputs fuer Solo-Creator.","Erstelle 12 Use-Cases fuer Solo-Creator und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: AI-Agenten Workflow.",Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.',Draft,prompt
Prompt 14: Use-Case Mapping: Hooks,"Schnelle, strukturierte Outputs fuer Berater.",Du bist ein Content-Strategist. Liefere 10 Hooks im Stil Pro/Contra. Zielgruppe: Berater. Thema: AI-Agenten Workflow. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.',Draft,prompt
Prompt 15: Audience Research: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer Coaches.",Analysiere Mastermind-Plan und generiere 9 Lead-Magnet-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 16: Angle Finder: Pricing-Optionen,"Schnelle, strukturierte Outputs fuer Coaches.","Erstelle 7 Pricing-Optionen fuer Coaches und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Prompt Pack.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 17: Benefit Stacking: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Erstelle 7 Tweet-Varianten fuer Solo-Creator. Nutze Framework und halte jede Ausgabe unter 18 Woertern. Kontext: Hook-Datenbank. Gib die Ausgabe nummeriert aus.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 18: Case Study: Use-Cases,"Schnelle, strukturierte Outputs fuer Berater.","Erstelle 7 Use-Cases fuer Berater und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Content Factory.",Beispiel: Offer: 'Content Factory in a Box',Draft,prompt
Prompt 19: SaaS Content: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer Coaches.",Erstelle 7 Tweet-Varianten fuer Coaches. Nutze Checkliste und halte jede Ausgabe unter 16 Woertern. Kontext: Prompt Pack. Gib die Ausgabe nummeriert aus.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
Prompt 20: Creator Newsletter: Objection-Replies,"Schnelle, strukturierte Outputs fuer Berater.",Analysiere Thread System und generiere 9 Objection-Replies. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 21: Sales Page: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Baue 12 Tweet-Varianten fuer SaaS Founder. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Creator Stack.",Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.',Draft,prompt
Prompt 22: DM Scripts: Use-Cases,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Analysiere Monetarisierungs-Funnel und generiere 12 Use-Cases. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 23: Kurzvideo Skript: Thread-Outlines,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Erstelle 10 Thread-Outlines fuer SaaS Founder. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 18 Woertern. Kontext: AI-Agenten Workflow. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 24: FAQ Engine: High-Ticket-Argumente,"Schnelle, strukturierte Outputs fuer Coaches.",Analysiere Content Factory und generiere 10 High-Ticket-Argumente. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
Prompt 25: Landing Page: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Du bist ein Content-Strategist. Liefere 7 Lead-Magnet-Ideen im Stil Kurz und direkt. Zielgruppe: Solo-Creator. Thema: Monetarisierungs-Funnel. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
Prompt 26: Mastermind: Use-Cases,"Schnelle, strukturierte Outputs fuer Agenturen.",Analysiere AI-Agenten Workflow und generiere 9 Use-Cases. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 27: Hook Generator: Offer-Statements,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Analysiere Monetarisierungs-Funnel und generiere 5 Offer-Statements. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 28: Thread Outline: Use-Cases,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Erstelle 12 Use-Cases fuer B2B Marketer. Nutze Beispiel + Analyse und halte jede Ausgabe unter 24 Woertern. Kontext: Thread System. Gib die Ausgabe nummeriert aus.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
Prompt 29: Tweet Variations: Content-Titel,"Schnelle, strukturierte Outputs fuer Solo-Creator.","Baue 7 Content-Titel fuer Solo-Creator. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: AI-Agenten Workflow.",Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.',Draft,prompt
Prompt 30: CTA Builder: Content-Titel,"Schnelle, strukturierte Outputs fuer Berater.",Erstelle 9 Content-Titel fuer Berater. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 18 Woertern. Kontext: Content Factory. Gib die Ausgabe nummeriert aus.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 31: Content Audit: Content-Titel,"Schnelle, strukturierte Outputs fuer Solo-Creator.","Baue 5 Content-Titel fuer Solo-Creator. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Monetarisierungs-Funnel.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 32: Positionierung: Content-Ideen,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Erstelle eine Liste von 10 Content-Ideen fuer SaaS Founder. Verwende Pro/Contra. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Offer: 'Content Factory in a Box',Draft,prompt
Prompt 33: Offer Design: DM-Templates,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Erstelle 9 DM-Templates fuer SaaS Founder. Nutze Pro/Contra und halte jede Ausgabe unter 16 Woertern. Kontext: Content Factory. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 34: Pricing: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Erstelle 12 CTA-Ideen fuer Solo-Creator. Nutze Checkliste und halte jede Ausgabe unter 16 Woertern. Kontext: Mastermind-Plan. Gib die Ausgabe nummeriert aus.,Beispiel: Offer: 'Content Factory in a Box',Draft,prompt
Prompt 35: Lead Magnet: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Erstelle eine Liste von 7 Tweet-Varianten fuer SaaS Founder. Verwende Schritt-fuer-Schritt. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 36: Content Kalender: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer Berater.",Analysiere Content Factory und generiere 9 Lead-Magnet-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.',Draft,prompt
Prompt 37: Repurposing: Offer-Statements,"Schnelle, strukturierte Outputs fuer B2B Marketer.","Baue 7 Offer-Statements fuer B2B Marketer. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Mastermind-Plan.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 38: Story Framework: DM-Templates,"Schnelle, strukturierte Outputs fuer Berater.",Analysiere Hook-Datenbank und generiere 7 DM-Templates. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.',Draft,prompt
Prompt 39: Objection Handling: Objection-Replies,"Schnelle, strukturierte Outputs fuer Berater.","Erstelle 7 Objection-Replies fuer Berater und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Thread System.",Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
Prompt 40: Use-Case Mapping: Offer-Statements,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Erstelle 5 Offer-Statements fuer SaaS Founder und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Content Factory.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 41: Audience Research: DM-Templates,"Schnelle, strukturierte Outputs fuer Solo-Creator.","Baue 9 DM-Templates fuer Solo-Creator. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Thread System.",Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.',Draft,prompt
Prompt 42: Angle Finder: High-Ticket-Argumente,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Analysiere Tweet Engine und generiere 12 High-Ticket-Argumente. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 43: Benefit Stacking: Thread-Outlines,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Baue 10 Thread-Outlines fuer SaaS Founder. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Mastermind-Plan.",Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
Prompt 44: Case Study: CTA-Ideen,"Schnelle, strukturierte Outputs fuer B2B Marketer.","Erstelle 10 CTA-Ideen fuer B2B Marketer und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Prompt Pack.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 45: SaaS Content: Content-Ideen,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Baue 7 Content-Ideen fuer SaaS Founder. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Thread System.",Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
Prompt 46: Creator Newsletter: High-Ticket-Argumente,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Erstelle 9 High-Ticket-Argumente fuer Solo-Creator. Nutze Framework und halte jede Ausgabe unter 16 Woertern. Kontext: Mastermind-Plan. Gib die Ausgabe nummeriert aus.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 47: Sales Page: Thread-Outlines,"Schnelle, strukturierte Outputs fuer B2B Marketer.","Erstelle 5 Thread-Outlines fuer B2B Marketer und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Mastermind-Plan.",Beispiel: Offer: 'Content Factory in a Box',Draft,prompt
Prompt 48: DM Scripts: Thread-Outlines,"Schnelle, strukturierte Outputs fuer Berater.",Erstelle 5 Thread-Outlines fuer Berater. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 16 Woertern. Kontext: Thread System. Gib die Ausgabe nummeriert aus.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.',Draft,prompt
Prompt 49: Kurzvideo Skript: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Analysiere Tweet Engine und generiere 10 Tweet-Varianten. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.',Draft,prompt
Prompt 50: FAQ Engine: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Coaches.",Analysiere Hook-Datenbank und generiere 9 CTA-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 51: Landing Page: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Berater.","Erstelle eine Liste von 7 CTA-Ideen fuer Berater. Verwende Pro/Contra. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
Prompt 52: Mastermind: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer Coaches.",Erstelle 12 Tweet-Varianten fuer Coaches. Nutze Checkliste und halte jede Ausgabe unter 16 Woertern. Kontext: Thread System. Gib die Ausgabe nummeriert aus.,Beispiel: Offer: 'Content Factory in a Box',Draft,prompt
Prompt 53: Hook Generator: Content-Ideen,"Schnelle, strukturierte Outputs fuer Agenturen.",Du bist ein Content-Strategist. Liefere 7 Content-Ideen im Stil Schritt-fuer-Schritt. Zielgruppe: Agenturen. Thema: Monetarisierungs-Funnel. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 54: Thread Outline: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Analysiere Thread System und generiere 10 Tweet-Varianten. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.',Draft,prompt
Prompt 55: Tweet Variations: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer Solo-Creator.","Erstelle 9 Lead-Magnet-Ideen fuer Solo-Creator und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: AI-Agenten Workflow.",Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
Prompt 56: CTA Builder: Use-Cases,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Baue 10 Use-Cases fuer SaaS Founder. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Prompt Pack.",Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.',Draft,prompt
Prompt 57: Content Audit: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Coaches.",Erstelle 7 CTA-Ideen fuer Coaches. Nutze Pro/Contra und halte jede Ausgabe unter 16 Woertern. Kontext: Content Factory. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 58: Positionierung: Offer-Statements,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Erstelle 10 Offer-Statements fuer SaaS Founder. Nutze Pro/Contra und halte jede Ausgabe unter 24 Woertern. Kontext: Creator Stack. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 59: Offer Design: Use-Cases,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Du bist ein Content-Strategist. Liefere 5 Use-Cases im Stil Checkliste. Zielgruppe: Solo-Creator. Thema: Hook-Datenbank. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.',Draft,prompt
Prompt 60: Pricing: Pricing-Optionen,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Analysiere Mastermind-Plan und generiere 10 Pricing-Optionen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 61: Lead Magnet: Objection-Replies,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Baue 5 Objection-Replies fuer SaaS Founder. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Content Factory.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 62: Content Kalender: High-Ticket-Argumente,"Schnelle, strukturierte Outputs fuer B2B Marketer.","Erstelle 12 High-Ticket-Argumente fuer B2B Marketer und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Mastermind-Plan.",Beispiel: Offer: 'Content Factory in a Box',Draft,prompt
Prompt 63: Repurposing: Hooks,"Schnelle, strukturierte Outputs fuer Agenturen.","Erstelle 5 Hooks fuer Agenturen und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Creator Stack.",Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
Prompt 64: Story Framework: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer Agenturen.",Du bist ein Content-Strategist. Liefere 12 Lead-Magnet-Ideen im Stil Framework. Zielgruppe: Agenturen. Thema: Mastermind-Plan. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
Prompt 65: Objection Handling: High-Ticket-Argumente,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Analysiere Monetarisierungs-Funnel und generiere 5 High-Ticket-Argumente. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
Prompt 66: Use-Case Mapping: Content-Titel,"Schnelle, strukturierte Outputs fuer Coaches.","Baue 5 Content-Titel fuer Coaches. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Mastermind-Plan.",Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.',Draft,prompt
Prompt 67: Audience Research: DM-Templates,"Schnelle, strukturierte Outputs fuer B2B Marketer.","Erstelle 12 DM-Templates fuer B2B Marketer und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Mastermind-Plan.",Beispiel: Offer: 'Content Factory in a Box',Draft,prompt
Prompt 68: Angle Finder: Hooks,"Schnelle, strukturierte Outputs fuer Agenturen.","Erstelle 12 Hooks fuer Agenturen und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Tweet Engine.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 69: Benefit Stacking: DM-Templates,"Schnelle, strukturierte Outputs fuer Agenturen.",Du bist ein Content-Strategist. Liefere 9 DM-Templates im Stil Schritt-fuer-Schritt. Zielgruppe: Agenturen. Thema: AI-Agenten Workflow. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 70: Case Study: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Solo-Creator.","Erstelle eine Liste von 7 CTA-Ideen fuer Solo-Creator. Verwende Template. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.',Draft,prompt
Prompt 71: SaaS Content: Use-Cases,"Schnelle, strukturierte Outputs fuer Agenturen.",Du bist ein Content-Strategist. Liefere 12 Use-Cases im Stil Beispiel + Analyse. Zielgruppe: Agenturen. Thema: Monetarisierungs-Funnel. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 72: Creator Newsletter: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Du bist ein Content-Strategist. Liefere 5 Lead-Magnet-Ideen im Stil Schritt-fuer-Schritt. Zielgruppe: SaaS Founder. Thema: AI-Agenten Workflow. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.',Draft,prompt
Prompt 73: Sales Page: Objection-Replies,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Analysiere Monetarisierungs-Funnel und generiere 5 Objection-Replies. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
Prompt 74: DM Scripts: High-Ticket-Argumente,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Erstelle 12 High-Ticket-Argumente fuer Solo-Creator. Nutze Beispiel + Analyse und halte jede Ausgabe unter 24 Woertern. Kontext: Thread System. Gib die Ausgabe nummeriert aus.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.',Draft,prompt
