Thread,Tweet,Text,Status,Tag
Thread 1,Tweet 1,"Parallelisierung im Content-System klingt simpel, ist aber ein Gamechanger.",Draft,thread
Thread 1,Tweet 2,Viele Threads scheitern am ersten Tweet.,Draft,thread
Thread 1,Tweet 3,Hook-First zwingt dich zu Klarheit.,Draft,thread
Thread 1,Tweet 4,"Sammle 30 Hooks, teste 10, behalte 3.",Draft,thread
Thread 1,Tweet 5,Erst dann baust du den Rest des Threads.,Draft,thread
Thread 1,Tweet 6,Prinzip: Zeige ehrliche Wertschaetzung.,Draft,thread
Thread 1,Tweet 7,These: Mastermind-Denken multipliziert Ergebnisse.,Draft,thread
Thread 1,Tweet 8,CTA: DM mit AGENTS und ich sende dir die Matrix.,Draft,thread
Thread 2,Tweet 1,Mein System in kurz: Rollen-Setup in der Content Factory.,Draft,thread
Thread 2,Tweet 2,Viele Threads scheitern am ersten Tweet.,Draft,thread
Thread 2,Tweet 3,Hook-First zwingt dich zu Klarheit.,Draft,thread
Thread 2,Tweet 4,"Sammle 30 Hooks, teste 10, behalte 3.",Draft,thread
Thread 2,Tweet 5,Erst dann baust du den Rest des Threads.,Draft,thread
Thread 2,Tweet 6,Prinzip: Sprich ueber die Interessen deines Gegenuebers.,Draft,thread
Thread 2,Tweet 7,These: Beharrlichkeit schlaegt Talent.,Draft,thread
Thread 2,Tweet 8,CTA: Schreib AGENTS fuer das Prompt-Pack.,Draft,thread
Thread 3,Tweet 1,Warum Hook-First Prozess dein groesster Hebel ist.,Draft,thread
Thread 3,Tweet 2,"Wenn du Output willst, brauchst du Batching.",Draft,thread
Thread 3,Tweet 3,30 Hooks -> 30 Drafts -> 30 gekuerzte Versionen.,Draft,thread
Thread 3,Tweet 4,Die Rollen bleiben strikt getrennt.,Draft,thread
Thread 3,Tweet 5,"Kleine Modelle fuer Masse, Mid-Modelle fuer Schliff.",Draft,thread
Thread 3,Tweet 6,"Haltung: Keine Ausreden, nur Handlung.",Draft,thread
Thread 3,Tweet 7,Funnel: Lead Magnet -> Tripwire -> Core Offer -> High Ticket.,Draft,thread
Thread 3,Tweet 8,CTA: Schreib AGENTS fuer das Prompt-Pack.,Draft,thread
Thread 4,Tweet 1,Der schnellste Weg zu mehr Output: Wortlimits als Quality Gate.,Draft,thread
Thread 4,Tweet 2,Prinzip: Sprich ueber die Interessen deines Gegenuebers.,Draft,thread
Thread 4,Tweet 3,These: Beharrlichkeit schlaegt Talent.,Draft,thread
Thread 4,Tweet 4,Haltung: Du bist verantwortlich.,Draft,thread
Thread 4,Tweet 5,Framework: Orchestrator -> Ideation -> Writer -> Refiner.,Draft,thread
