id,title,goal,prompt,example
1,Hook Generator: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Erstelle 9 Tweet-Varianten fuer Solo-Creator. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 24 Woertern. Kontext: Content Factory. Gib die Ausgabe nummeriert aus.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
2,Thread Outline: Thread-Outlines,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Du bist ein Content-Strategist. Liefere 7 Thread-Outlines im Stil Beispiel + Analyse. Zielgruppe: SaaS Founder. Thema: Thread System. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
3,Tweet Variations: CTA-Ideen,"Schnelle, strukturierte Outputs fuer B2B Marketer.","Erstelle 7 CTA-Ideen fuer B2B Marketer und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Hook-Datenbank.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
4,CTA Builder: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer Coaches.","Baue 5 Tweet-Varianten fuer Coaches. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Hook-Datenbank.",Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
5,Content Audit: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer Berater.","Baue 12 Lead-Magnet-Ideen fuer Berater. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Hook-Datenbank.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
6,Positionierung: DM-Templates,"Schnelle, strukturierte Outputs fuer Coaches.","Erstelle eine Liste von 5 DM-Templates fuer Coaches. Verwende Schritt-fuer-Schritt. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
7,Offer Design: Offer-Statements,"Schnelle, strukturierte Outputs fuer Coaches.","Erstelle 10 Offer-Statements fuer Coaches und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Prompt Pack.",Beispiel: Offer: 'Content Factory in a Box'
8,Pricing: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer Agenturen.","Baue 9 Tweet-Varianten fuer Agenturen. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Tweet Engine.",Beispiel: Offer: 'Content Factory in a Box'
9,Lead Magnet: Offer-Statements,"Schnelle, strukturierte Outputs fuer Agenturen.","Baue 12 Offer-Statements fuer Agenturen. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Hook-Datenbank.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
10,Content Kalender: Offer-Statements,"Schnelle, strukturierte Outputs fuer Coaches.",Erstelle 10 Offer-Statements fuer Coaches. Nutze Beispiel + Analyse und halte jede Ausgabe unter 16 Woertern. Kontext: Monetarisierungs-Funnel. Gib die Ausgabe nummeriert aus.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
